ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,81051.6
1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,79101.0
0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,71341.8
0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,76722.0
0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,78716.0
0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,66415.0
0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,74598.8
0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,64855.2
0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,67430.6
0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,77898.4
0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,71792.2
1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,89255.0
0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,61729.0
1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,73738.8
0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,86882.6
1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,66885.8
0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,80482.0
0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,81252.0
0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,87672.0
1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,75390.2
0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,81219.6
0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,70100.2
0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,68332.0
0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,91771.0
0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,70125.2
1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,71923.6
1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,81908.4
1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,84400.8
1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,77833.6
0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,71170.8
0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,73234.2
1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,67946.6
1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,88102.6
1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,60671.0
1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,89146.0
0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,70191.4
0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,72168.6
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,60564.8
1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,68781.0
0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,67419.6
1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,87096.8
0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,59002.0
1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,68492.0
0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,80867.6
1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,93806.0
0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,92606.2
1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,71630.4
1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,70270.0
0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,70249.2
0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,69724.8
0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,76132.4
0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,89692.0
0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,75537.4
1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,82640.4
0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,80691.0
0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,68736.2
1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,71862.0
1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,67899.4
0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,65403.6
0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,70885.6
0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,73571.4
1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,67747.0
1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,58745.6
1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,67585.6
1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,94671.2
0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,83077.4
