topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$latency
4.0,1.0,4.0,10.0,10.0,1.0,1000.0,1000.0,512.0,10000.0,5.0,29.0,0.184939462894
4.0,10.0,4.0,1000000.0,1.0,1.0,1.0,1000.0,512.0,10000.0,2.0,29.0,0.00234086795952
4.0,1.0,4.0,1000000.0,1.0,1.0,1000.0,1000.0,512.0,10000.0,5.0,29.0,0.000130729100706
4.0,10.0,4.0,1000000.0,1.0,1.0,1000.0,1000.0,512.0,10000.0,2.0,29.0,6.26410274218e-05
2.0,10.0,4.0,1000000.0,1.0,1.0,1000.0,1000.0,512.0,10000.0,5.0,29.0,0.000110302678721
2.0,1.0,4.0,10.0,10.0,0.0,1000.0,1000.0,1024.0,10000.0,2.0,29.0,0.801290405165
4.0,1.0,4.0,10.0,10.0,1.0,1.0,1000.0,1024.0,10000.0,2.0,29.0,0.144574129528
4.0,1.0,4.0,10.0,10.0,0.0,1.0,1000.0,1024.0,10000.0,2.0,29.0,0.145110663546
4.0,1.0,4.0,10.0,1.0,1.0,1000.0,1000.0,1024.0,10000.0,2.0,0.0,0.723991377326
4.0,1.0,4.0,10.0,10.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,29.0,0.0819317403448
4.0,1.0,4.0,10.0,10.0,1.0,1000.0,1000.0,1024.0,10000.0,2.0,29.0,0.461535004759
4.0,1.0,4.0,1000000.0,10.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,29.0,8.17056879415e-06
4.0,1.0,4.0,1000000.0,10.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,29.0,8.17056879415e-06
4.0,1.0,4.0,1000000.0,10.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,29.0,8.17056879415e-06
2.0,1.0,4.0,10.0,10.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,29.0,0.138593273171
4.0,1.0,4.0,1000000.0,10.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,29.0,8.17056879415e-06
4.0,10.0,4.0,1000000.0,10.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,29.0,2.72352293138e-06
4.0,10.0,2.0,1000000.0,10.0,0.0,1.0,10.0,1024.0,100.0,5.0,29.0,0.000326822751766
4.0,10.0,4.0,1000000.0,10.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,29.0,2.72352293138e-06
4.0,10.0,4.0,1000000.0,1.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,0.0,0.000943700695724
4.0,10.0,4.0,1000000.0,1.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,0.0,0.000943700695724
4.0,10.0,4.0,1000000.0,10.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,29.0,2.72352293138e-06
4.0,10.0,4.0,1000000.0,10.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,29.0,2.72352293138e-06
4.0,1.0,4.0,1000000.0,10.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,0.0,0.0001388996695
4.0,1.0,4.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,29.0,0.000867442053645
4.0,10.0,2.0,10.0,10.0,1.0,1.0,10.0,512.0,100.0,5.0,0.0,0.0815558941802
4.0,10.0,4.0,1000000.0,10.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,0.0,0.000446657760747
4.0,1.0,4.0,1000000.0,1.0,0.0,1.0,10.0,512.0,100.0,2.0,29.0,0.0020004275931
4.0,1.0,4.0,1000000.0,1.0,1.0,1.0,10.0,1024.0,100.0,2.0,29.0,0.00194051008861
2.0,1.0,4.0,1000000.0,1.0,1.0,1.0,10.0,1024.0,100.0,2.0,29.0,0.00137946436475
2.0,1.0,4.0,10.0,1.0,1.0,1000.0,10.0,1024.0,100.0,2.0,29.0,0.952981100113
2.0,1.0,4.0,1000000.0,1.0,1.0,1.0,10.0,1024.0,100.0,2.0,29.0,0.00137946436475
4.0,1.0,4.0,1000000.0,1.0,1.0,1.0,10.0,1024.0,100.0,2.0,0.0,0.00202493929948
2.0,1.0,4.0,10.0,10.0,1.0,1.0,10.0,1024.0,100.0,2.0,29.0,0.14764217811
2.0,1.0,4.0,1000000.0,1.0,1.0,1.0,10.0,1024.0,100.0,2.0,29.0,0.00137946436475
2.0,1.0,4.0,1000000.0,1.0,0.0,1.0,10.0,1024.0,100.0,2.0,29.0,0.00140397607113
2.0,10.0,4.0,1000000.0,1.0,1.0,1.0,10.0,1024.0,100.0,2.0,0.0,0.00250155581247
2.0,1.0,4.0,1000000.0,1.0,1.0,1.0,10.0,1024.0,100.0,2.0,29.0,0.00137946436475
2.0,1.0,4.0,1000000.0,1.0,1.0,1.0,10.0,1024.0,100.0,2.0,29.0,0.00137946436475
2.0,1.0,4.0,1000000.0,1.0,1.0,1.0,10.0,1024.0,100.0,2.0,29.0,0.00137946436475
2.0,1.0,2.0,10.0,10.0,0.0,1.0,1000.0,512.0,10000.0,2.0,29.0,0.149820996455
2.0,1.0,2.0,10.0,1.0,1.0,1000.0,1000.0,512.0,10000.0,2.0,29.0,0.85383533308
2.0,1.0,2.0,10.0,1.0,0.0,1.0,1000.0,1024.0,10000.0,2.0,29.0,0.0150392936271
2.0,1.0,2.0,10.0,10.0,0.0,1.0,1000.0,1024.0,10000.0,5.0,29.0,0.142566893128
2.0,1.0,4.0,10.0,1.0,0.0,1.0,1000.0,512.0,10000.0,2.0,29.0,0.0149289909484
2.0,1.0,4.0,10.0,1.0,0.0,1.0,1000.0,512.0,10000.0,2.0,29.0,0.0149289909484
2.0,10.0,4.0,10.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,29.0,0.0147478766734
4.0,10.0,4.0,10.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,29.0,0.0143679452245
4.0,10.0,2.0,10.0,1.0,0.0,1.0,1000.0,1024.0,10000.0,5.0,29.0,0.0144414803437
4.0,10.0,4.0,10.0,1.0,1.0,1.0,1000.0,1024.0,10000.0,5.0,29.0,0.0146661709855
4.0,10.0,4.0,10.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0144060745455
4.0,10.0,4.0,10.0,1.0,1.0,1.0,10.0,512.0,100.0,5.0,29.0,0.0144578214812
4.0,1.0,4.0,10.0,1.0,0.0,1.0,1000.0,1024.0,10000.0,2.0,29.0,0.0147805589486
4.0,10.0,2.0,10.0,1.0,1.0,1.0,1000.0,512.0,10000.0,5.0,29.0,0.014366583463
4.0,10.0,2.0,10.0,1.0,0.0,1000.0,1000.0,1024.0,10000.0,5.0,29.0,0.208561939039
4.0,10.0,2.0,10.0,1.0,1.0,1.0,1000.0,512.0,10000.0,5.0,29.0,0.014366583463
4.0,10.0,2.0,10.0,10.0,1.0,1.0,10.0,1024.0,100.0,5.0,29.0,0.0821210251885
4.0,10.0,2.0,10.0,1.0,0.0,1.0,1000.0,512.0,10000.0,2.0,29.0,0.0144809714262
4.0,10.0,2.0,10.0,1.0,1.0,1.0,1000.0,512.0,10000.0,5.0,29.0,0.014366583463
2.0,10.0,2.0,10.0,1.0,1.0,1.0,1000.0,512.0,10000.0,2.0,29.0,0.0149289909484
4.0,10.0,2.0,10.0,1.0,1.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.014287601298
4.0,10.0,2.0,10.0,1.0,1.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.014287601298
