new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,performance
4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,22.816
4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,23.328
4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,21.714
2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,41.828
4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,21.65
4.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,23.326
4.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,31.624
4.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,23.204
3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,31.0
4.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,33.85
2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,41.828
4.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,23.334
4.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,24.682
4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,21.65
4.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,42.476
1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,170.47
1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,170.47
1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,156.802
4.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,41.46
4.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,38.94
4.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,40.708
4.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,39.128
4.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,42.996
4.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,38.94
4.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,42.996
4.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,38.94
2.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,80.656
4.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,23.398
4.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,23.114
2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,47.194
3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,47.514
2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,46.568
4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,31.72
4.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,23.114
4.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,34.764
3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,30.138
4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,22.878
1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,116.638
