new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,performance
1.0,0.0,1.0,0.0,0.0,90.0,1024.0,10.0,100715.6
4.0,0.0,1.0,0.0,0.0,90.0,1024.0,6.0,19336.0
4.0,0.0,1.0,0.0,0.0,80.0,1024.0,6.0,19213.2
4.0,1.0,1.0,0.0,0.0,60.0,4.0,6.0,23422.0
4.0,0.0,1.0,0.0,0.0,80.0,1024.0,6.0,19213.2
2.0,0.0,1.0,0.0,0.0,80.0,16.0,6.0,83997.8
3.0,0.0,1.0,1.0,0.0,50.0,1024.0,6.0,10709.6
3.0,0.0,1.0,1.0,0.0,0.0,1024.0,6.0,20837.4
3.0,1.0,1.0,0.0,0.0,50.0,32.0,6.0,10841.0
3.0,1.0,0.0,1.0,1.0,100.0,1024.0,10.0,48492.4
3.0,0.0,1.0,1.0,0.0,50.0,1024.0,6.0,10709.6
3.0,0.0,1.0,1.0,0.0,50.0,1024.0,10.0,48603.8
3.0,0.0,1.0,0.0,0.0,50.0,4.0,2.0,13085.8
3.0,0.0,1.0,0.0,0.0,70.0,1024.0,2.0,12150.8
3.0,0.0,1.0,1.0,0.0,90.0,1024.0,10.0,48281.0
3.0,0.0,1.0,0.0,0.0,50.0,1024.0,6.0,10677.4
3.0,0.0,1.0,0.0,1.0,50.0,1024.0,10.0,48648.0
3.0,1.0,1.0,1.0,0.0,50.0,1024.0,6.0,10678.0
3.0,0.0,1.0,0.0,0.0,50.0,1024.0,6.0,10677.4
3.0,0.0,1.0,0.0,0.0,50.0,1024.0,6.0,10677.4
3.0,0.0,0.0,0.0,0.0,50.0,1024.0,8.0,38050.0
3.0,0.0,1.0,0.0,0.0,50.0,1024.0,2.0,12162.0
3.0,0.0,1.0,0.0,0.0,0.0,1024.0,6.0,20680.2
1.0,0.0,1.0,0.0,0.0,50.0,1.0,2.0,17604.2
5.0,0.0,1.0,0.0,0.0,50.0,1024.0,8.0,122401.6
3.0,0.0,1.0,0.0,0.0,50.0,1.0,6.0,18229.0
2.0,1.0,1.0,1.0,0.0,40.0,8.0,4.0,12107.0
2.0,1.0,1.0,0.0,0.0,30.0,2.0,6.0,73699.4
2.0,1.0,1.0,1.0,0.0,40.0,8.0,4.0,12107.0
1.0,1.0,1.0,0.0,1.0,40.0,4.0,4.0,12445.0
4.0,1.0,1.0,1.0,0.0,100.0,2048.0,4.0,43623.2
2.0,1.0,1.0,1.0,1.0,40.0,4096.0,4.0,11931.0
5.0,1.0,1.0,1.0,0.0,40.0,4096.0,4.0,9158.2
2.0,1.0,1.0,1.0,0.0,40.0,4096.0,6.0,91144.4
4.0,0.0,1.0,0.0,0.0,40.0,4096.0,4.0,13194.4
